Date,ret,RM-Rf,SMB,HML,RMW,CMA,Lag1,Lag2,Lag3,Lag4,Lag5
3/8/2016,-1.249428715,-1.27,-1.27,-0.47,0.68,0.16,0.20550799,0.343502614,0.492731673,0.554783464,2.352109688
3/9/2016,0.483908014,0.5,0.1,0.41,0.22,0.17,-1.249428715,0.20550799,0.343502614,0.492731673,0.554783464
3/10/2016,-0.029552259,-0.11,-0.76,0.63,0.3,0.2,0.483908014,-1.249428715,0.20550799,0.343502614,0.492731673
3/11/2016,1.680870059,1.69,0.3,0.23,-0.43,-0.42,-0.029552259,0.483908014,-1.249428715,0.20550799,0.343502614
3/14/2016,-0.116379467,-0.13,-0.15,-0.91,-0.01,-0.18,1.680870059,-0.029552259,0.483908014,-1.249428715,0.20550799
3/15/2016,-0.341737611,-0.36,-1.46,0.68,0.47,0.04,-0.116379467,1.680870059,-0.029552259,0.483908014,-1.249428715
3/16/2016,0.624044581,0.63,0.12,-0.09,0.58,-0.03,-0.341737611,-0.116379467,1.680870059,-0.029552259,0.483908014
3/17/2016,0.764957512,0.72,0.96,0.58,0.12,0.62,0.624044581,-0.341737611,-0.116379467,1.680870059,-0.029552259
3/18/2016,0.442729515,0.54,0.43,-0.15,-0.24,0.1,0.764957512,0.624044581,-0.341737611,-0.116379467,1.680870059
3/21/2016,0.096016797,0.1,-0.29,-0.32,-0.1,-0.32,0.442729515,0.764957512,0.624044581,-0.341737611,-0.116379467
3/22/2016,-0.028812524,-0.05,-0.09,-0.45,-0.32,-0.2,0.096016797,0.442729515,0.764957512,0.624044581,-0.341737611
3/23/2016,-0.819095332,-0.86,-1.19,-0.15,0.7,0.02,-0.028812524,0.096016797,0.442729515,0.764957512,0.624044581
3/24/2016,-0.029009818,0,0.45,-0.06,0.05,0.06,-0.819095332,-0.028812524,0.096016797,0.442729515,0.764957512
3/28/2016,0.067706388,0.04,-0.05,0.17,-0.05,0.22,-0.029009818,-0.819095332,-0.028812524,0.096016797,0.442729515
3/29/2016,1.106164134,1.07,1.68,-1.18,0.19,-0.44,0.067706388,-0.029009818,-0.819095332,-0.028812524,0.096016797
3/30/2016,0.381904588,0.41,-0.25,0.16,-0.05,-0.01,1.106164134,0.067706388,-0.029009818,-0.819095332,-0.028812524
3/31/2016,-0.114426737,-0.11,0.41,-0.48,-0.11,-0.07,0.381904588,1.106164134,0.067706388,-0.029009818,-0.819095332
4/1/2016,0.627691022,0.64,-0.32,-0.61,-0.39,-0.11,-0.114426737,0.381904588,1.106164134,0.067706388,-0.029009818
4/4/2016,-0.418035566,-0.41,-0.3,-0.79,-0.23,-0.16,0.627691022,-0.114426737,0.381904588,1.106164134,0.067706388
4/5/2016,-0.975783868,-0.94,-0.18,-0.37,0.08,0.25,-0.418035566,0.627691022,-0.114426737,0.381904588,1.106164134
4/6/2016,1.08997844,1.14,0.06,-0.81,-0.52,-0.53,-0.975783868,-0.418035566,0.627691022,-0.114426737,0.381904588
4/7/2016,-1.205416738,-1.23,-0.08,-0.37,-0.01,0.26,1.08997844,-0.975783868,-0.418035566,0.627691022,-0.114426737
4/8/2016,0.288323487,0.29,0.12,0.66,0.37,0.24,-1.205416738,1.08997844,-0.975783868,-0.418035566,0.627691022
4/11/2016,-0.278709782,-0.28,-0.01,0.95,-0.01,0.24,0.288323487,-1.205416738,1.08997844,-0.975783868,-0.418035566
4/12/2016,0.967306486,0.99,0,0.86,0.03,-0.13,-0.278709782,0.288323487,-1.205416738,1.08997844,-0.975783868
4/13/2016,1.165515669,1.23,0.98,0.38,-0.49,-0.4,0.967306486,-0.278709782,0.288323487,-1.205416738,1.08997844
4/14/2016,-0.037713116,0.03,-0.24,0.14,-0.36,-0.07,1.165515669,0.967306486,-0.278709782,0.288323487,-1.205416738
4/15/2016,-0.047115084,-0.04,0.31,-0.33,0.24,0.21,-0.037713116,1.165515669,0.967306486,-0.278709782,0.288323487
4/18/2016,0.667206076,0.65,0.13,-0.2,-0.16,-0.08,-0.047115084,-0.037713116,1.165515669,0.967306486,-0.278709782
4/19/2016,0.280584141,0.29,-0.2,1.47,-0.22,0.28,0.667206076,-0.047115084,-0.037713116,1.165515669,0.967306486
4/20/2016,0.102711177,0.15,-0.01,0.58,-0.3,-0.17,0.280584141,0.667206076,-0.047115084,-0.037713116,1.165515669
4/21/2016,-0.495759721,-0.47,0,-0.59,-0.6,-0.29,0.102711177,0.280584141,0.667206076,-0.047115084,-0.037713116
4/22/2016,0.140545246,0.12,1,0.51,-0.09,0.83,-0.495759721,0.102711177,0.280584141,0.667206076,-0.047115084
4/25/2016,-0.243719484,-0.24,-0.65,-0.17,0.11,-0.09,0.140545246,-0.495759721,0.102711177,0.280584141,0.667206076
4/26/2016,0.271823447,0.29,0.81,0.81,0.29,0.48,-0.243719484,0.140545246,-0.495759721,0.102711177,0.280584141
4/27/2016,0.243073133,0.21,0.18,0.7,-0.19,0.65,0.271823447,-0.243719484,0.140545246,-0.495759721,0.102711177
4/28/2016,-0.900498918,-0.96,-0.19,-0.02,-0.48,0.52,0.243073133,0.271823447,-0.243719484,0.140545246,-0.495759721
4/29/2016,-0.585883485,-0.5,-0.22,0.37,0.05,-0.19,-0.900498918,0.243073133,0.271823447,-0.243719484,0.140545246
5/2/2016,0.774181187,0.79,-0.02,-0.37,0.01,-0.1,-0.585883485,-0.900498918,0.243073133,0.271823447,-0.243719484
5/3/2016,-1.011392665,-1.05,-0.74,-0.45,0.54,0.04,0.774181187,-0.585883485,-0.900498918,0.243073133,0.271823447
5/4/2016,-0.59075592,-0.66,-0.16,0.06,0.49,0.33,-1.011392665,0.774181187,-0.585883485,-0.900498918,0.243073133
5/5/2016,-0.038250043,-0.08,-0.53,0.05,0.12,-0.04,-0.59075592,-1.011392665,0.774181187,-0.585883485,-0.900498918
5/6/2016,0.36260779,0.38,0.07,0.24,0.18,0.28,-0.038250043,-0.59075592,-1.011392665,0.774181187,-0.585883485
5/9/2016,0.104730797,0.05,0.21,-1.46,0.14,-0.41,0.36260779,-0.038250043,-0.59075592,-1.011392665,0.774181187
5/10/2016,1.182438476,1.26,-0.37,0.49,-0.15,0.03,0.104730797,0.36260779,-0.038250043,-0.59075592,-1.011392665
5/11/2016,-0.916326122,-0.89,-0.32,0.78,-0.38,0.02,1.182438476,0.104730797,0.36260779,-0.038250043,-0.59075592
5/12/2016,-0.037986048,-0.11,-0.62,0.13,0.39,0.02,-0.916326122,1.182438476,0.104730797,0.36260779,-0.038250043
5/13/2016,-0.867696832,-0.82,0.31,-0.67,-0.54,-0.11,-0.037986048,-0.916326122,1.182438476,0.104730797,0.36260779
